skill_similarity,sessions_completed,rating,coding_submissions,discussion_activity,session_duration,response_time,learning_success
0.74,14,4.9,14,17,26,14,1
0.4,12,3.6,18,0,114,7,1
0.96,11,4.4,2,9,36,1,1
0.43,1,4.0,21,3,74,15,0
0.81,0,4.5,6,4,34,5,0
0.5,4,4.6,4,18,23,11,0
0.47,14,3.4,30,20,55,6,1
0.87,7,3.7,6,8,29,13,1
0.46,9,4.1,3,14,111,4,0
0.83,14,4.0,21,4,66,15,1
0.64,10,3.1,4,7,102,11,1
0.52,0,3.4,7,18,112,7,0
0.56,15,2.9,24,5,25,15,1
0.37,9,4.6,30,15,29,4,1
0.37,10,3.2,17,5,77,7,0
0.56,9,4.3,6,17,26,1,1
0.81,4,3.6,27,18,34,15,1
0.68,6,3.4,29,10,27,5,1
0.95,12,2.7,23,12,62,11,1
0.36,14,2.9,3,7,65,7,0
0.44,9,3.9,16,16,120,6,1
0.34,6,4.3,9,11,77,14,0
0.38,11,3.6,22,7,42,12,0
0.86,5,4.6,23,12,116,11,1
0.94,1,4.9,4,10,118,14,1
0.52,8,2.8,30,17,21,10,1
0.97,10,3.8,19,6,61,11,1
0.79,4,2.9,9,7,35,2,0
0.74,7,4.7,0,8,54,15,0
0.47,12,2.9,6,6,32,9,0
0.73,14,4.8,0,18,33,6,1
0.55,13,2.7,11,17,96,11,1
0.35,15,4.4,10,4,82,15,1
0.62,3,2.6,3,1,105,11,0
0.64,10,4.5,30,10,20,12,1
0.93,4,3.2,25,12,89,14,1
0.32,11,2.8,29,20,51,4,1
0.59,5,2.7,29,3,36,2,0
0.63,14,3.8,5,3,35,13,1
0.58,6,3.0,22,8,103,15,1
0.31,11,4.2,18,19,98,3,1
0.5,7,4.7,12,15,86,2,1
0.66,12,4.4,24,16,57,1,1
0.57,2,2.9,3,3,29,11,0
0.76,9,4.1,7,10,23,2,1
0.76,9,5.0,26,7,54,3,1
0.88,12,4.9,25,17,100,5,1
0.36,6,4.7,0,18,56,13,0
0.66,6,3.1,12,8,100,3,0
0.65,11,2.9,26,8,37,15,1
0.4,8,2.7,28,15,109,11,1
0.82,11,2.6,25,14,114,14,1
0.57,14,3.1,12,9,115,8,1
0.85,3,3.1,8,0,59,4,0
0.63,12,3.8,12,14,29,4,1
0.87,1,4.0,26,17,85,9,1
0.49,1,3.2,20,16,109,14,0
0.78,3,2.7,0,14,85,5,0
0.96,15,4.6,2,4,22,12,1
0.6,11,4.2,11,0,91,5,1
0.46,0,4.0,1,6,64,8,0
0.98,10,2.8,27,19,70,2,1
0.99,9,4.9,29,20,72,14,1
0.63,7,4.8,16,18,50,12,1
0.8,10,3.1,15,14,67,12,1
0.98,2,2.7,28,20,103,7,1
0.58,0,3.2,5,6,31,3,0
0.84,13,4.4,17,9,38,5,1
0.43,5,3.9,20,8,46,14,0
0.63,2,3.0,28,11,89,3,0
0.45,14,4.0,9,8,56,2,1
0.92,14,2.5,13,13,72,13,1
0.62,5,3.6,25,2,67,9,1
0.55,4,3.2,29,19,56,8,1
0.52,7,3.2,7,15,116,2,0
0.86,8,3.6,5,17,88,9,1
0.31,8,3.2,24,8,61,6,1
0.35,13,4.7,5,3,41,8,1
0.5,6,4.4,14,14,60,13,0
0.78,13,4.9,12,20,105,5,1
0.94,7,2.6,24,16,115,10,1
0.6,9,2.9,20,4,92,9,1
0.36,8,3.4,16,14,56,8,0
0.74,5,4.7,29,16,69,13,1
0.77,12,3.7,22,15,106,7,1
0.69,3,4.5,15,5,113,7,0
0.63,12,3.4,15,13,83,4,1
0.85,2,3.4,11,13,89,11,1
0.59,9,2.7,0,11,23,9,0
0.39,4,2.6,5,2,69,13,0
0.84,0,4.9,11,12,82,5,0
1.0,2,3.0,16,14,88,15,1
0.64,4,4.5,17,1,50,6,0
0.75,13,3.0,9,17,56,3,1
0.61,5,3.0,0,7,107,10,0
0.42,12,3.7,0,9,21,12,0
0.97,5,3.1,23,15,20,6,1
0.99,11,2.9,17,1,98,9,1
0.79,15,3.5,4,13,40,8,1
0.91,1,3.1,21,6,95,6,1
0.72,13,4.3,4,3,109,6,1
0.68,11,3.4,16,19,63,4,1
0.31,13,4.1,12,2,90,4,1
0.98,0,4.4,17,5,59,14,1
0.66,2,4.3,10,7,54,12,0
0.53,14,4.3,27,20,41,7,1
0.3,7,3.4,5,4,73,7,0
0.61,10,3.8,6,11,87,12,1
0.9,7,3.1,1,18,63,15,1
0.54,8,3.5,5,10,72,6,0
0.76,5,2.8,10,6,28,10,0
0.93,6,4.6,25,5,32,14,1
0.61,14,4.1,30,16,86,6,1
0.43,10,4.7,14,1,63,11,0
0.51,12,2.7,21,3,113,8,1
0.96,15,4.2,3,0,84,7,1
0.93,8,3.0,27,15,109,5,1
0.36,0,4.1,2,19,64,9,0
0.7,7,2.8,7,15,81,4,1
0.41,12,2.9,18,9,21,1,1
0.34,11,3.6,19,16,62,1,1
0.7,0,3.4,12,10,54,12,0
0.85,9,3.2,26,3,112,10,1
0.47,7,4.8,28,8,74,15,1
0.82,10,4.5,5,13,37,4,1
0.77,1,3.2,6,6,115,3,0
0.95,13,3.2,9,5,93,2,1
0.87,14,4.1,14,12,108,10,1
0.72,12,4.1,2,9,52,5,1
0.87,10,2.7,11,16,73,12,1
0.54,6,2.9,16,6,70,2,0
0.6,1,2.8,21,6,80,3,0
0.98,0,4.3,8,10,66,4,0
0.55,12,3.4,30,11,47,7,1
0.44,7,4.9,10,13,70,7,1
0.78,9,4.5,10,10,36,10,1
0.92,1,3.9,2,12,67,4,0
0.73,2,2.7,4,7,57,4,0
0.76,11,4.1,15,13,107,10,1
0.33,4,4.2,21,10,43,6,1
0.62,0,2.9,5,5,65,4,0
0.63,5,4.5,26,3,117,5,1
0.54,2,4.4,23,17,120,12,1
0.56,1,3.9,6,13,53,13,0
0.82,15,3.8,15,16,91,12,1
0.81,3,3.8,14,13,20,10,1
0.54,8,3.0,22,8,42,5,1
0.7,5,3.8,8,13,101,10,0
0.68,2,3.1,2,7,29,13,0
0.45,15,4.6,6,17,116,11,1
0.58,11,4.9,22,8,65,5,1
0.82,4,4.6,25,7,86,9,1
0.76,1,4.5,10,12,83,3,0
0.76,10,3.5,26,15,32,6,1
0.94,8,4.7,13,13,91,1,1
0.32,3,2.8,13,17,26,10,0
0.99,13,3.8,8,19,87,3,1
0.91,13,4.2,5,2,115,4,1
0.3,3,4.4,0,17,52,1,0
0.93,7,3.9,22,20,39,8,1
0.58,14,3.0,8,2,52,5,1
0.66,4,2.5,4,15,76,3,0
0.61,12,4.5,7,1,117,1,1
0.62,4,4.1,1,7,25,7,0
0.83,9,3.4,1,10,37,4,1
0.99,12,3.9,17,2,93,12,1
0.76,11,3.6,24,13,79,12,1
0.61,13,3.8,16,12,92,13,1
0.46,14,3.2,4,4,89,6,0
0.91,14,4.1,13,3,75,2,1
0.52,1,4.2,0,3,79,12,0
0.67,14,4.1,20,1,41,12,1
0.79,12,3.6,4,7,91,7,1
0.94,0,4.3,2,1,69,12,0
0.76,9,2.8,23,17,36,14,1
0.72,7,3.6,22,6,53,15,1
0.7,7,3.9,7,13,28,9,0
0.65,12,4.6,11,13,48,3,1
0.42,3,4.1,13,5,40,4,0
0.77,8,3.1,18,5,53,3,1
0.39,1,3.2,30,14,72,14,0
0.35,1,2.6,11,2,112,8,0
0.53,14,2.9,23,1,76,4,1
0.8,1,3.2,20,2,86,5,0
0.36,13,4.9,1,17,63,4,1
0.6,14,4.6,13,18,114,1,1
0.6,11,2.7,5,16,70,10,1
0.44,13,3.8,2,3,64,15,0
0.91,1,3.7,2,19,86,5,0
0.57,2,4.4,7,4,50,15,0
0.5,6,4.0,5,15,46,10,0
0.36,4,3.0,25,10,67,1,0
0.83,12,4.0,25,16,48,7,1
0.56,0,4.1,14,10,32,7,0
0.72,7,3.6,15,14,41,6,1
0.39,5,4.6,16,15,36,15,1
0.57,13,2.8,11,19,38,13,1
0.52,3,3.1,22,14,37,4,0
0.73,4,4.2,9,8,83,7,0
0.6,5,2.7,26,10,97,3,1
0.56,15,4.3,6,1,38,7,1
0.59,4,3.6,29,12,41,6,1
0.54,4,3.9,19,2,89,5,0
0.33,1,4.5,18,3,24,6,0
0.53,0,3.8,2,8,34,12,0
0.8,12,5.0,1,12,98,8,1
0.98,1,4.9,29,19,102,6,1
0.98,14,3.1,13,15,95,3,1
0.87,5,3.9,21,11,68,11,1
0.34,10,3.0,3,14,38,5,0
0.41,15,4.1,14,5,109,9,1
0.99,12,3.1,15,19,31,15,1
0.52,5,4.0,16,14,40,15,0
0.68,9,4.9,17,9,115,15,1
0.62,14,4.4,7,3,62,5,1
0.85,6,3.2,5,17,38,14,0
0.68,11,5.0,13,14,86,11,1
0.53,13,3.2,13,4,81,6,1
0.38,4,2.5,8,16,35,11,0
0.4,4,4.8,5,1,83,6,0
0.62,3,2.7,25,19,67,7,0
0.4,1,3.5,29,11,44,6,0
0.59,1,4.3,25,10,73,14,0
0.96,2,3.1,11,9,68,10,0
0.43,4,2.9,20,4,112,15,0
0.73,14,3.1,21,7,105,15,1
0.43,4,3.7,18,20,40,5,0
0.88,13,5.0,8,5,56,15,1
0.34,8,3.1,6,20,60,13,0
0.7,11,3.9,9,15,59,10,1
0.46,4,3.6,19,12,96,15,0
0.91,10,4.0,26,12,66,1,1
0.41,0,4.6,30,10,96,7,0
0.6,4,3.8,3,11,81,1,1
0.51,1,4.9,17,20,70,8,0
0.83,12,3.6,27,12,28,12,1
0.3,10,4.8,1,3,95,12,1
0.53,5,4.4,15,20,108,11,0
0.84,15,2.8,16,1,28,5,1
0.33,6,4.7,29,8,27,7,0
0.85,7,2.6,23,17,43,15,1
0.9,11,4.7,8,7,72,8,1
0.72,14,4.6,29,6,78,6,1
0.72,5,4.9,19,12,30,7,1
0.36,8,3.6,16,19,81,5,1
0.41,15,3.8,30,11,22,7,1
0.35,11,2.6,5,18,105,15,0
0.45,9,2.9,22,12,117,13,1
0.45,15,3.5,5,14,69,15,1
0.38,2,2.6,9,0,37,15,0
0.6,15,4.9,17,18,40,7,1
0.7,14,4.8,30,5,20,12,1
0.9,1,3.0,5,4,97,8,0
0.37,10,2.6,16,5,95,9,0
0.92,12,4.6,24,12,115,11,1
0.45,15,3.1,28,2,70,15,1
0.79,13,2.7,8,13,67,9,1
0.45,4,3.4,17,14,87,2,0
0.34,6,3.9,21,18,116,11,1
0.65,14,3.6,3,12,68,4,1
0.57,8,2.6,19,14,52,8,0
0.66,4,4.4,6,19,85,8,0
0.53,11,3.1,3,11,39,9,1
0.58,15,3.0,14,19,116,6,1
0.91,8,4.6,30,15,94,10,1
0.92,1,4.4,23,0,76,9,1
0.49,6,3.1,18,5,70,2,1
0.94,7,3.9,19,15,118,6,1
0.88,3,4.6,18,9,65,1,1
0.7,2,3.3,14,3,91,13,0
0.9,13,4.4,22,19,21,13,1
0.33,10,4.7,25,13,64,2,1
0.88,10,4.7,19,3,83,5,1
0.42,10,4.8,21,1,29,2,1
0.79,8,4.3,16,9,103,4,1
0.76,8,4.5,4,3,34,1,1
0.73,14,4.4,21,20,40,8,1
0.83,3,3.5,18,10,70,10,1
0.5,9,3.7,23,11,66,10,1
0.47,5,2.7,5,5,37,4,0
0.53,11,3.9,20,12,37,12,1
0.92,3,4.3,9,14,88,7,1
0.51,7,3.3,3,4,101,15,0
0.92,14,3.4,15,6,82,11,1
0.98,11,3.3,30,5,117,13,1
0.66,9,3.1,22,20,55,14,1
0.41,10,3.4,15,19,48,4,1
0.46,9,3.0,2,19,30,10,0
0.59,8,2.7,19,19,30,8,0
0.38,2,4.8,20,5,93,10,0
0.52,14,5.0,22,4,53,13,1
0.35,15,3.6,24,15,27,3,1
0.9,12,4.5,20,20,36,1,1
0.66,15,3.2,18,20,27,14,1
0.87,11,3.5,17,8,59,10,1
0.58,15,2.8,15,20,114,10,1
0.86,13,4.7,8,13,42,14,1
0.54,14,3.7,22,17,40,5,1
0.77,15,3.9,1,17,105,12,1
0.88,11,3.2,20,7,57,3,1
0.59,8,3.8,25,14,63,10,1
0.75,4,4.7,13,3,54,4,1
0.66,2,4.4,30,18,44,4,1
0.48,7,3.0,15,12,47,14,0
0.72,7,4.8,25,7,63,14,1
0.45,12,5.0,24,8,61,4,1
0.97,0,3.7,12,6,76,7,1
0.9,5,2.6,5,6,27,5,1
0.49,15,3.5,23,1,75,7,1
0.32,5,2.8,14,0,82,9,0
0.74,10,3.3,11,0,59,10,1
0.37,3,3.7,0,16,61,1,0
0.38,13,2.8,9,17,81,3,0
0.68,4,3.3,15,4,95,2,1
0.56,2,3.2,30,18,26,2,0
0.93,14,3.7,23,10,118,10,1
0.36,9,4.5,10,18,93,8,1
0.55,3,3.2,6,0,28,1,0
0.47,3,3.5,2,8,44,11,0
0.64,7,3.3,27,4,73,3,1
0.36,8,3.4,27,3,76,15,0
0.7,13,3.9,21,4,95,5,1
0.77,0,4.7,9,6,60,3,0
0.39,14,3.5,29,4,91,1,1
0.51,3,3.0,25,2,113,12,0
0.48,6,5.0,29,9,52,3,1
0.9,3,4.0,26,2,36,9,1
0.79,8,4.0,1,9,20,11,0
0.67,13,4.6,23,14,102,2,1
0.34,2,4.4,8,16,112,11,0
1.0,7,3.3,2,13,73,5,1
0.33,13,4.9,26,9,32,9,1
0.57,8,4.4,25,5,81,13,1
0.56,3,3.9,26,20,87,10,1
0.9,9,4.4,14,17,28,3,1
0.91,10,2.8,2,18,92,2,1
0.52,9,4.6,30,13,116,3,1
0.88,12,3.0,13,9,35,14,1
0.58,1,3.5,24,20,52,12,1
0.36,1,3.3,12,19,108,7,0
0.93,14,3.7,24,15,98,4,1
0.4,11,3.4,8,3,97,5,1
0.9,8,2.8,12,8,114,13,1
0.47,6,4.9,2,15,94,13,0
0.61,0,4.9,2,4,31,8,0
0.94,9,3.0,27,4,87,13,1
0.99,9,2.6,15,16,85,3,1
0.77,9,4.7,17,13,26,7,1
0.73,10,4.3,18,18,23,6,1
0.98,15,2.7,15,2,57,3,1
0.79,12,3.9,9,7,22,8,1
0.38,15,3.1,22,19,105,11,1
0.37,8,4.5,23,12,80,6,1
0.3,15,3.3,25,11,64,6,1
0.84,10,3.8,3,3,111,14,1
0.53,12,4.9,19,10,116,7,1
0.73,0,4.6,20,5,36,5,0
0.47,0,2.7,19,11,100,5,0
0.4,11,4.5,25,15,41,10,1
0.37,5,4.0,6,13,31,7,0
0.71,8,3.1,21,7,113,13,1
0.41,5,4.7,25,19,39,5,1
0.33,15,3.0,5,9,69,8,1
0.53,9,4.5,7,10,54,1,1
0.87,8,4.6,24,18,118,2,1
1.0,5,4.3,17,5,42,4,1
0.35,4,3.1,27,13,115,10,0
0.97,6,4.7,12,0,31,10,1
0.58,3,2.8,4,6,27,7,0
0.67,5,2.8,29,11,75,15,1
0.68,12,3.4,11,20,27,11,1
0.35,11,4.3,0,14,78,5,0
0.5,1,4.4,22,3,62,6,0
0.86,2,5.0,21,5,47,12,1
0.83,1,2.5,11,3,21,9,0
0.93,2,3.8,18,3,42,14,1
0.8,9,3.8,21,9,62,2,1
0.74,11,4.2,9,18,32,4,1
0.79,11,4.4,23,8,40,15,1
0.6,12,3.8,6,6,77,13,1
0.41,0,4.1,25,18,80,1,0
0.43,5,3.8,6,4,72,12,0
0.36,14,3.3,17,14,74,7,1
0.8,7,2.8,14,18,75,15,1
0.81,7,3.3,15,15,37,9,1
0.46,10,3.3,9,5,23,11,0
0.78,10,4.6,23,15,56,11,1
0.51,13,3.7,1,5,71,2,1
0.81,12,4.4,14,12,40,2,1
0.6,13,2.6,30,15,103,10,1
0.45,4,3.8,6,17,60,12,0
0.31,9,4.8,19,5,26,2,0
0.4,13,2.6,20,17,35,5,1
0.8,13,4.4,9,0,60,11,1
0.73,10,3.2,27,16,32,4,1
0.61,0,3.0,0,16,51,11,0
0.34,2,4.9,10,7,78,9,0
0.69,6,3.4,8,19,116,8,1
0.64,1,3.0,8,6,21,6,0
0.67,11,2.6,7,18,51,10,1
0.4,2,3.1,17,6,82,12,0
0.7,4,3.0,8,0,71,7,0
0.46,3,2.9,6,0,115,15,0
0.36,15,2.7,20,4,95,1,1
0.41,11,4.6,19,20,96,5,1
0.72,11,4.5,5,15,108,3,1
0.41,3,4.6,27,1,29,6,0
0.92,3,4.6,26,17,72,14,1
0.65,4,4.2,10,5,84,12,1
0.81,9,4.8,2,2,68,4,1
0.75,15,4.7,8,9,87,9,1
0.58,5,4.4,19,0,87,12,1
0.55,12,3.0,0,8,59,12,1
0.97,0,3.4,8,7,62,11,0
0.67,4,3.9,13,0,76,10,0
0.77,2,4.2,20,3,56,15,0
0.45,2,2.7,2,13,48,2,0
0.33,8,2.6,2,15,76,3,0
0.91,11,2.7,24,4,26,11,1
0.65,1,4.6,3,1,69,10,0
0.87,3,2.7,23,8,102,14,1
0.61,0,4.3,21,17,75,10,0
0.74,6,2.9,0,1,45,7,0
0.87,6,4.1,25,18,75,15,1
0.63,9,4.9,23,1,49,10,1
0.5,9,3.8,10,20,47,10,0
0.3,11,4.5,20,16,82,15,1
0.97,5,2.7,9,9,50,15,0
0.89,3,3.8,20,16,54,13,1
0.84,1,4.2,27,8,112,8,1
0.49,9,3.4,0,19,28,15,0
0.48,11,2.6,22,20,58,4,1
0.69,15,4.5,5,9,39,13,1
0.46,5,2.8,16,17,70,1,0
0.69,15,4.1,24,14,116,15,1
0.52,13,4.2,21,16,31,8,1
0.43,7,3.0,11,7,71,7,0
0.9,9,2.5,14,20,22,11,1
0.64,5,3.3,26,9,25,11,1
0.38,11,3.5,6,4,80,2,0
0.61,0,2.7,10,7,118,9,0
0.35,10,4.7,15,12,57,9,1
0.92,10,3.4,18,15,74,13,1
0.79,4,4.6,18,10,111,4,1
0.33,0,4.7,27,12,109,11,0
0.31,11,2.8,19,3,87,15,0
0.87,0,3.3,6,19,97,7,1
0.37,10,4.7,28,8,28,5,1
0.54,2,3.6,29,14,62,10,1
0.37,3,2.7,4,2,95,9,0
0.97,9,4.7,21,14,41,1,1
0.38,14,3.2,26,12,73,7,1
0.58,13,3.7,17,14,119,1,1
